Id,Category
0,0
1,0
2,0
3,1
4,1
5,1
6,2
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,0
31,2
32,2
33,1
34,1
35,1
36,2
37,2
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,2
52,0
53,0
54,1
55,2
56,0
57,1
58,2
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,0
77,1
78,1
79,2
80,1
81,0
82,1
83,1
84,1
85,2
86,2
87,1
88,2
89,1
90,1
91,1
92,2
93,2
94,0
95,1
96,2
97,1
98,1
99,2
100,0
101,2
102,0
103,2
104,1
105,1
106,2
107,1
108,1
109,1
110,2
111,2
112,1
113,1
114,0
115,1
116,0
117,2
118,1
119,0
120,1
121,1
122,2
123,1
124,1
125,0
126,2
127,2
128,1
129,1
130,0
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,2
139,2
140,2
141,1
142,2
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,0
151,0
152,1
153,2
154,1
155,0
156,2
157,2
158,1
159,1
160,1
161,1
162,0
163,2
164,1
165,2
166,2
167,2
168,1
169,1
170,0
171,2
172,0
173,0
174,1
175,2
176,2
177,1
178,1
179,2
180,2
181,1
182,0
183,0
184,1
185,1
186,2
187,2
188,2
189,2
190,1
191,2
192,0
193,2
194,2
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,2
203,1
204,2
205,2
206,1
207,2
208,2
209,2
210,1
211,0
212,1
213,2
214,2
215,1
216,2
217,2
218,2
219,2
220,2
221,2
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,2
232,1
233,2
234,1
235,1
236,1
237,2
238,1
239,2
240,2
241,2
242,0
243,0
244,1
245,0
246,1
247,1
248,0
249,0
250,2
251,0
252,2
253,0
254,0
255,1
256,1
257,1
258,1
259,2
260,0
261,0
262,0
263,0
264,2
265,0
266,2
267,2
268,2
269,1
270,0
271,0
272,1
273,1
274,2
275,1
276,1
277,2
278,2
279,1
280,1
281,1
282,0
283,1
284,2
285,0
286,0
287,2
288,2
289,2
290,0
291,1
292,0
293,2
294,0
295,1
296,1
297,1
298,2
299,0
300,1
301,2
302,1
303,1
304,2
305,1
306,2
307,0
308,2
309,2
310,2
311,2
312,0
313,1
314,1
315,1
316,2
317,1
318,2
319,1
320,0
321,0
322,2
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,2
334,0
335,2
336,1
337,1
338,2
339,1
340,2
341,0
342,1
343,1
344,1
345,1
346,2
347,0
348,1
349,0
350,1
351,1
352,2
353,0
354,0
355,1
356,0
357,2
358,1
359,2
360,1
361,2
362,1
363,1
364,1
365,1
366,1
367,0
368,2
369,1
370,1
371,1
372,1
373,2
374,0
375,1
376,1
377,2
378,2
379,2
380,0
381,1
382,1
383,1
384,2
385,0
386,0
387,2
388,2
389,1
390,2
391,1
392,1
393,1
394,0
395,1
396,2
397,1
398,0
399,1
400,2
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,2
411,0
412,2
413,1
414,1
415,2
416,0
417,0
418,1
419,1
420,0
421,1
422,2
423,0
424,2
425,1
426,2
427,1
428,2
429,0
430,1
431,0
432,1
433,2
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,2
442,1
443,1
444,0
445,0
446,0
447,1
448,2
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,2
458,1
459,2
460,1
461,0
462,1
463,1
464,2
465,2
466,1
467,0
468,1
469,2
470,1
471,1
472,0
473,2
474,0
475,1
476,2
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,0
493,1
494,2
495,1
496,0
497,2
498,0
499,2
500,1
501,0
502,0
503,1
504,1
505,2
506,0
507,1
508,1
509,2
510,0
511,0
512,1
513,0
514,1
515,2
516,1
517,1
518,0
519,0
520,1
521,2
522,1
523,1
524,2
525,2
526,1
527,2
528,2
529,1
530,1
531,1
